nombre,cuidado,estación,riego,sol_directo,humedad,poda,abono,enlace_a_imagen
Jazmín,Poca sombra y suelo húmedo,3,2,1,1,1,1,[Ver Imagen](https://example.com/jazmin)
Ceibo,Luz directa y suelo húmedo,4,3,1,1,1,2,[Ver Imagen](https://example.com/ceibo)
Lapacho,Suelo bien drenado y suelo húmedo,4,3,1,1,1,2,[Ver Imagen](https://example.com/lapacho)
Ombú,Resistente y tolera sequía,1,1,2,2,2,2,[Ver Imagen](https://example.com/ombu)
Aguaribay,Poca agua y suelo seco,4,1,1,2,1,2,[Ver Imagen](https://example.com/aguaribay)
Espinillo,Poco riego y suelo seco,4,1,1,2,1,2,[Ver Imagen](https://example.com/espinillo)
Magnolia,Suelo fértil y buena luz,3,2,1,1,1,1,[Ver Imagen](https://example.com/Magnolia)
Lavanda,Suelo bien drenado y sol directo,4,1,1,2,2,2,[Ver Imagen](https://example.com/lavanda)
Sauce llorón,Suelo húmedo y tolera encharcamiento,2,3,2,1,1,1,[Ver Imagen](https://example.com/sauce)
Albahaca,Mucha luz y suelo húmedo,4,2,1,1,1,1,[Ver Imagen](https://example.com/albahaca)
Sarandí Colorado,Suelo húmedo y tolera inundación,3,2,2,1,1,2,[Ver Imagen](https://example.com/sarandi)
Arrayán,Luz filtrada y suelo fértil,4,2,2,3,1,1,[Ver Imagen](https://example.com/arrayan)
Curupí,Suelo húmedo y luz indirecta,1,2,2,1,2,2,[Ver Imagen](https://example.com/curupi)
Espina de la Cruz,Suelo seco y resistente,2,1,1,2,1,2,[Ver Imagen](https://example.com/espina)
Tala,Suelo arcilloso y sol directo,1,1,1,2,1,2,[Ver Imagen](https://example.com/tala)
Pitanga,Suelo fértil y luz moderada,3,2,2,3,1,1,[Ver Imagen](https://example.com/pitanga)
Chañar,Suelo árido y pleno sol,4,1,1,2,1,2,[Ver Imagen](https://example.com/chanar)
Molle,Poco riego y suelo seco,4,1,1,2,1,2,[Ver Imagen](https://example.com/molle)
Mariposita (Oxalis),Suelo húmedo y sombra parcial,3,2,2,1,1,2,[Ver Imagen](https://example.com/mariposita)
Ñandubay,Suelo seco y resistente,4,1,1,2,1,2,[Ver Imagen](https://example.com/nandubay)
Lantana,Suelo bien drenado y pleno sol,3,2,1,2,2,2,[Ver Imagen](https://example.com/lantana)
Duraznillo Blanco,Suelo arenoso y tolera sequía,4,1,1,2,2,2,[Ver Imagen](https://example.com/duraznillo)
Canelón,Suelo fértil y luz filtrada,3,2,2,3,1,2,[Ver Imagen](https://example.com/canelon)
Timbó,Suelo húmedo y luz directa,4,3,1,1,1,1,[Ver Imagen](https://example.com/timbo)
Guayabo del País,Suelo bien drenado y sol parcial,3,2,1,3,1,1,[Ver Imagen](https://example.com/guayabo)
Espinillo Blanco,Poco riego y  suelo seco,2,1,1,2,1,2,[Ver Imagen](https://example.com/espinilloblanco)
Guaviyú,Suelo húmedo y luz indirecta,4,2,2,1,1,2,[Ver Imagen](https://example.com/guaviyu)
Algarrobo,Suelo seco y resistente,1,1,1,2,2,2,[Ver Imagen](https://example.com/algarrobo)
Yerba Mate,Suelo fértil y sombra parcial,3,2,2,1,1,1,[Ver Imagen](https://example.com/yerbamate)
Arrayán de Monte,Suelo húmedo y luz filtrada,2,2,2,3,1,2,[Ver Imagen](https://example.com/arrayanmonte)
Pezuña de Vaca,Suelo fértil y sol directo,3,2,1,3,1,1,[Ver Imagen](https://example.com/pezuñavaca)
Palo Borracho,Suelo bien drenado y luz directa,4,1,1,2,1,2,[Ver Imagen](https://example.com/paloborracho)
Garabato Colorado,Suelo arenoso y resistente,1,1,1,2,1,2,[Ver Imagen](https://example.com/garabato)
Jume,Suelo salino y sol directo,4,1,1,2,1,2,[Ver Imagen](https://example.com/jume)
Ñangapirí,Suelo fértil y luz filtrada,3,2,2,3,1,1,[Ver Imagen](https://example.com/nangapiri)
Palo Amarillo,Suelo húmedo y luz indirecta,4,2,2,1,1,2,[Ver Imagen](https://example.com/paloamarillo)
Esqueleto de Mono,Suelo seco y resistente,1,1,1,2,1,2,[Ver Imagen](https://example.com/esqueleto)
Ceibillo,Suelo fértil y luz directa,3,2,1,3,1,2,[Ver Imagen](https://example.com/ceibillo)
Ombú de Monte,Suelo arenoso y tolera sequía,4,1,1,2,2,2,[Ver Imagen](https://example.com/ombumonte)
Guaraniná,Suelo fértil y sombra parcial,1,2,2,1,1,1,[Ver Imagen](https://example.com/guaranina)
